month,community_accounts,pro_accounts,api_clients,community_price_usd,pro_price_usd,api_price_usd,revenue_usd,fixed_cost_usd,variable_cost_usd,one_time_cost_usd,net_cash_change_usd,ending_cash_usd
1,0,0,0,199,19,499,0,31500,0.0,15000,-46500.0,453500.0
2,0,0,0,199,19,499,0,31500,0.0,0,-31500.0,422000.0
3,0,0,0,199,19,499,0,31500,0.0,0,-31500.0,390500.0
4,5,20,0,199,19,499,1375,31500,137.5,0,-30262.5,360237.5
5,10,50,0,199,19,499,2940,31500,294.0,0,-28854.0,331383.5
6,18,90,0,199,19,499,5292,31500,529.2,45000,-71737.2,259646.3
7,28,150,0,199,19,499,8422,31500,842.2,0,-23920.2,235726.1
8,40,230,1,199,19,499,12829,31500,1282.9,0,-19953.9,215772.2
9,55,330,2,199,19,499,18213,31500,1821.3,0,-15108.3,200663.9
10,70,450,4,199,19,499,24476,31500,2447.6,0,-9471.6,191192.3
11,85,570,7,199,19,499,31238,31500,3123.8,0,-3385.8,187806.5
12,100,700,10,199,19,499,38190,31500,3819.0,0,2871.0,190677.5
